,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
inflacao,7383.85,7408.666667,9862.333333,10132.91667,11109.95,10138.5,10410.93333,11120.91667,11554.08333,11270.91667
real,243.0,243.0,281.0,285.0,299.0,285.0,289.0,299.0,305.0,301.0
manter,243.0,243.0,281.0,285.0,299.0,285.0,289.0,150.0,305.0,301.0
preco,125.95,126.33333329999999,284.8333333,288.8333333,304.05,147.5,151.0333333,155.33333330000002,310.3333333,156.33333330000002
dilma,122.0,,141.0,143.0,150.0,143.0,145.0,150.0,153.0,151.0
crise,122.0,122.0,141.0,143.0,150.0,143.0,145.0,150.0,153.0,151.0
aumento,75.93333333,86.0,86.75,93.58333333,107.25,94.0,100.7666667,102.33333329999999,108.08333329999999,102.33333329999999
acima,39.11666667,2.5,45.0,45.25,46.75,45.25,45.61666667,46.0,47.83333333,47.5
salario,36.11666667,54.16666667,42.0,42.25,43.75,42.25,42.61666667,44.5,44.83333333,44.5
juro,5.2,3.75,5.083333333,5.083333333,5.083333333,2.833333333,3.416666667,5.083333333,5.083333333,5.083333333
alto,3.5,3.833333333,6.916666667,9.25,8.95,7.333333333,7.833333333,7.333333333,9.0,7.333333333
subir,2.333333333,1.166666667,2.916666667,2.916666667,2.7833333330000003,2.0,2.166666667,2.333333333,2.833333333,2.333333333
ano,2.0,2.166666667,3.25,2.0,2.0,2.0,2.0,2.0,2.0,2.0
dolar,1.25,0.333333333,2.25,1.25,7.916666667,0.916666667,2.333333333,3.75,6.25,1.25
governo,1.0,0.5,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
baixo,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5
taxa,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gasolina,0.41666666700000005,0.583333333,0.41666666700000005,0.41666666700000005,299.8666667,144.66666669999998,288.53333330000004,299.6666667,305.9166667,301.6666667
minimo,0.333333333,,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333
contas,,122.0,141.0,143.0,150.0,143.0,145.0,150.0,153.0,151.0
passar,,,141.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
fhc,,,141.0,0.5,0.5,0.5,,150.0,,151.0
alta,,,141.0,,290.28333330000004,,145.0,,153.0,
familia,,,141.0,143.0,150.0,143.0,145.0,150.0,153.0,151.0
pib,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
desempregado,,,0.41666666700000005,146.41666669999998,153.41666669999998,146.41666669999998,148.41666669999998,153.41666669999998,156.41666669999998,154.41666669999998
dinheiro,,,,143.0,150.0,143.0,145.0,150.0,153.0,151.0
fome,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
coxinhas,,,,,150.0,,,,,
gas,,,,,150.0,,145.0,150.0,153.0,151.0
pao,,,,,5.916666667,,,,,
estavel,,,,,3.2,,,,,
democracia,,,,,,,145.0,1008.0,1029.0,1015.0
deputado,,,,,,,4.0,298.0,304.0,300.0
senador,,,,,,,3.0,150.0,153.0,151.0
federal,,,,,,,3.0,444.0,453.0,447.0
vereador,,,,,,,,870.0,888.0,876.0
distrito,,,,,,,,730.0,745.0,735.0
estadual,,,,,,,,588.0,600.0,592.0
